45.301 30.876 24.452 45.078 45.067
45.699 32.621 26.072 46.187 45.944
47.755 33.575 26.290 46.829 45.887
46.191 33.832 26.321 47.349 46.068
46.813 33.563 26.212 46.500 46.023
46.283 33.495 26.659 46.988 46.418
46.319 33.578 26.355 46.553 45.980
46.077 34.348 26.598 46.411 46.059
46.242 33.758 26.171 46.494 46.149
48.055 33.340 26.601 51.876 46.059
46.752 33.560 26.261 53.801 45.889
46.214 33.435 26.639 47.043 45.838
46.617 33.581 26.461 47.027 47.093
46.444 33.354 26.337 46.433 45.955
46.180 33.640 26.213 46.482 46.147
46.155 33.684 26.395 46.665 45.892
